ASIN,Title,Description,Price,List_price,Image_URL
,"Best Self: Be You, Only Better",,,$26.99,
,Becoming,,,$32.50,
,The Point of It All: A Lifetime of Great Loves and Endeavors,,,$28.00,
,The High Performance Planner,,,$24.99,
,"The Clean Plate: Eat, Reset, Heal",,,$35.00,
,"Medical Medium Liver Rescue: Answers to Eczema, Psoriasis, Diabetes, Strep, Acne, Gout, Bloating, Gallstones, Adrenal Stress, Fatigue, Fatty Liver, Weight Issues, SIBO & Autoimmune Disease",,,$34.99,
,The First Conspiracy: The Secret Plot to Kill George Washington,,,$29.99,
,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,,,$24.99,
,Can't Hurt Me: Master Your Mind and Defy the Odds,,,$24.99,
,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),,,$9.99,
,5 Ingredients: Quick & Easy Food,,,$35.00,
,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,,,$14.99,
,The Hebrew Bible: A Translation with Commentary (Vol. Three-Volume Set),,,$125.00,
,The Martha Manual: How to Do (Almost) Everything,,,$35.00,
,The Truths We Hold: An American Journey,,,$30.00,
,Everyday Millionaires: How Ordinary People Built Extraordinary Wealth―and How You Can Too,,,$24.99,
,"First Aid for the USMLE Step 1 2019, Twenty-ninth edition",,,$55.00,
,Fire & Blood: 300 Years Before A Game of Thrones (A Targaryen History) (A Song of Ice and Fire),,,$35.00,
,Homebody: A Guide to Creating Spaces You Never Want to Leave,,,$40.00,
,Keto Instant Pot: 130+ Healthy Low-Carb Recipes for Your Electric Pressure Cooker or Slow Cooker,,,$34.95,
,It's Not Supposed to Be This Way Study Guide: Finding Unexpected Strength When Disappointments Leave You Shattered,,,$12.99,
,"The Greenprint: Plant-Based Diet, Best Body, Better World",,,$27.99,
,Churchill: Walking with Destiny,,,$40.00,
,What to Eat When: A Strategic Plan to Improve Your Health and Life Through Food,,,$28.00,
,Keto Quick Start: A Beginner's Guide to a Whole-Foods Ketogenic Diet with More Than 100 Recipes,,,$34.95,
,The New Iberia Blues: A Dave Robicheaux Novel,,,$27.99,
,P Is for Pterodactyl: The Worst Alphabet Book Ever,,,$17.99,
,"The Fork, the Witch, and the Worm: Tales from Alagaësia (Volume 1: Eragon) (Te Inheritance Cycle)",,,$16.99,
,Nine Perfect Strangers,,,$28.99,
,Becoming (Spanish Edition),,,$19.95,
,My Life Among the Underdogs: A Memoir,,,$26.99,
,Superheroes Are Everywhere,,,$17.99,
,Dungeons & Dragons Guildmasters' Guide to Ravnica (D&D/Magic: The Gathering Adventure Book and Campaign Setting),,,$49.95,
,What Should Danny Do? School Day (The Power to Choose Series),,,$21.99,
,Mikey and the Dragons,,,$16.95,
,"The Minimalist Home: A Room-by-Room Guide to a Decluttered, Refocused Life",,,$19.99,
,The Wicked King (The Folk of the Air),,,$19.99,
,Verses for the Dead (Agent Pendergast),,,$28.00,
,Turning Point: A Novel,,,$28.99,
,Becoming (Spanish Edition),,,$19.95,
,Instant Pot Cookbook #2019: 550 Effortless Recipes For Beginner & Advanced Users (Instant Pot Recipes),,,$11.95,
,"Keto Meal Prep: Lose Weight, Save Time, and Feel Your Best on the Ketogenic Diet",,,$16.99,
,Undo It!: How Simple Lifestyle Changes Can Reverse Most Chronic Diseases,,,$30.00,
,"Tell Your Children: The Truth About Marijuana, Mental Illness, and Violence",,,$26.00,
,"Dungeons & Dragons Core Rulebooks Gift Set (Special Foil Covers Edition with Slipcase, Player's Handbook, Dungeon Master's Guide, Monster Manual, DM Screen)",,,$169.95,
,"The Guilt Free Gourmet 2019 Cooking Guide: The Ultimate Low Point Cooking, Ingredient and Recipe Guide",,,$19.95,
,It's Not Supposed to Be This Way Study Guide with DVD: Finding Unexpected Strength When Disappointments Leave You Shattered,,,$41.99,
,This Is Marketing: You Can't Be Seen Until You Learn to See,,,$24.00,
,The Gown: A Novel of the Royal Wedding,,,$16.99,
,"Destiny Grimoire Anthology, Vol I",,,$24.99,
,Queen of Air and Darkness (The Dark Artifices),,,$24.99,
,"Inheritance: A Memoir of Genealogy, Paternity, and Love",,,$24.95,
,500 Keto Instant Pot Recipes Cookbook: The Easy Electric Pressure Cooker Ketogenic Diet Cookbook to Reset Your Body and Live a Healthy Life,,,$13.91,
,Beastie Boys Book,,,$50.00,
,Big Debt Crises,,,$50.00,
,The Universe Has Your Back: Transform Fear to Faith,,,$16.99,
,Kingdom of the Blind: A Chief Inspector Gamache Novel,,,$28.99,
,"I've Been Thinking . . . The Journal: Inspirations, Prayers, and Reflections for Your Meaningful Life",,,$18.00,
,The MeatEater Fish and Game Cookbook: Recipes and Techniques for Every Hunter and Angler,,,$35.00,
,We Are Displaced: My Journey and Stories from Refugee Girls Around the World,,,$18.99,
,Everything Is Mama,,,$7.99,
,GED Test Prep Plus 2019: 2 Practice Tests + Proven Strategies + Online (Kaplan Test Prep),,,$29.99,
,"The Plant Paradox Quick and Easy: The 30-Day Plan to Lose Weight, Feel Great, and Live Lectin-Free",,,$18.99,
,"The 30-Minute Mediterranean Diet Cookbook: 101 Easy, Flavorful Recipes for Lifelong Health",,,$17.99,
,Rick Steves Ireland 2019,,,$24.99,
,"Stopping Kidney Disease: A science based treatment plan to use your doctor, drugs, diet and exercise to slow or stop the progression of incurable kidney disease",,,$21.95,
,Diary of a Wimpy Kid #13: Meltdown,,,$13.95,
,Lose Weight with Your Instant Pot: 60 Easy One-Pot Recipes for Fast Weight Loss,,,$25.99,
,Keto Diet Cookbook For Beginners: 550 Recipes For Busy People on Keto Diet (Keto Diet for Beginners),,,$11.99,
